Name4,SName4,Family4,Genus4,Species4,Native4,Naturalized4,CoC4,Endemic4,Persisting4,Category4,Habitat4,GrowthHabit4,Duration4,Status_State4,Status_US4,Scientific_Name_With_Authors,Species_Author,Infraspecies,Infraspecies_Author
European columbine,Aquilegia vulgaris,Ranunculaceae,Aquilegia,vulgaris,N,Y,,N,Y,Vascular,Thickets. disturbed soils. roadsides. and edges of paths through forests.,Forb/herb,Perennial,,,Aquilegia vulgaris L.,L.,,
mouse ear cress. thale cress,Arabidopsis thaliana,Brassicaceae,Arabidopsis,thaliana,N,Y,,N,Y,Vascular,Roadsides. railroad edges. and disturbed soils. Usually in somewhat dry situations.,Forb/herb,Annual,,,Arabidopsis thaliana (L.) Heynh.,(L.) Heynh.,,
bristly sarsaparilla,Aralia hispida,Araliaceae,Aralia,hispida,Y,,6,N,Y,Vascular,Open rocky summits and ridges. forest clearings. roadsides. and disturbed ground mostly on acidic soils and rocks.  This species appears to respond well to disturbances including fire and logging.,Subshrub,Perennial,,,Aralia hispida Vent.,Vent.,,
wild sarsaparilla,Aralia nudicaulis,Araliaceae,Aralia,nudicaulis,Y,,6,N,Y,Vascular,A forest understory herbaceous plant it occurs in a wide variety of dry to mesic forest types although it usually is absent or sparse in our deepest and richest soils.,Herbaceous,Perennial,,,Aralia nudicaulis L.,L.,,
spikenard,Aralia racemosa,Araliaceae,Aralia,racemosa,Y,,7,N,Y,Vascular,Ravines. ledges. shaded roadsides. thickets. and forest clearings often but not restricted to rich sites.  It usually occurs as thinly scattered plants and appears to do well in slightly disturbed areas.  Ledges and partially shaded shale talus in ravines are preferred sites.,Subshrub,Perennial,,,Aralia racemosa L.,L.,,
devil s walking stick. Hercules s club,Aralia spinosa,Araliaceae,Aralia,spinosa,Y,,4,N,Y,Vascular,Utility line cuts. disturbed areas. and young thin forests.  Fairly similar to the non-native A. elata and many reports and specimens of A. spinosa may actually be A. elata.,Tree. Shrub,Perennial,,,Aralia spinosa L.,L.,,
greater burdock,Arctium lappa,Asteraceae,Arctium,lappa,N,Y,,N,Y,Vascular,Waste places. disturbed ground. fields. stream banks. and roadsides.  We have not been able to detect a habitat difference between this species and A. lappa and both are common.,Forb/herb,Biennial,,,Arctium lappa L.,L.,,
lesser burdock,Arctium minus,Asteraceae,Arctium,minus,N,Y,,N,Y,Vascular,Waste places. disturbed ground. fields. stream banks. and roadsides.  We have not been able to detect a habitat difference between this species and A. lappa and both are common.,Forb/herb,Biennial,,,Arctium minus (Hill) Bernh.,(Hill) Bernh.,,
bearberry,Arctostaphylos uva-ursi,Ericaceae,Arctostaphylos,uva-ursi,Y,,8,N,Y,Vascular,Rocky summits. bluffs. sandy maritime areas. and fields and roadsides with thin sandy soils. Mostly a plant of acidic soils in open sites.,Subshrub. Shrub,Perennial,,,Arctostaphylos uva-ursi (L.) Spreng.,(L.) Spreng.,,
thyme-leaved sandwort,Arenaria serpyllifolia,Caryophyllaceae,Arenaria,serpyllifolia,N,Y,,N,Y,Vascular,Roadsides. disturbed areas. waste places. successional fields. rocky summits. and outcrops. Mostly in thin dry soils. Common weedy non-native it is usually in non-native habitats but can occasionally get into dry native habitats such as rock outcrops.,Forb/herb,Annual,,,Arenaria serpyllifolia L.,L.,,
dragon s mouth,Arethusa bulbosa,Orchidaceae,Arethusa,bulbosa,Y,,10,N,Y,Vascular,Bogs and poor fens. Sometimes appearing in large numbers but rather local in distribution.,Forb/herb,Perennial,Threatened-State,,Arethusa bulbosa L.,L.,,
green dragon,Arisaema dracontium,Araceae,Arisaema,dracontium,Y,,7,N,Y,Vascular,Floodplain forests and edges of marl ponds.,Forb/herb,Perennial,,,Arisaema dracontium (L.) Schott,(L.) Schott,,
swamp Jack-in-the-pulpit,Arisaema stewardsonii,Araceae,Arisaema,stewardsonii,Y,,7,N,Y,Vascular,Swamps.,Forb/herb,Perennial,,,Arisaema stewardsonii Britton,Britton,,
common Jack-in-the-pulpit,Arisaema triphyllum,Araceae,Arisaema,triphyllum,Y,,5,N,Y,Vascular,Primarily in mesic forests. This taxon does particularly well in deep rich soils but also occurs in less rich sites.,Forb/herb,Perennial,,,Arisaema triphyllum (L.) Schott,(L.) Schott,,
prairie threeawn. oldfield threeawn,Aristida oligantha,Poaceae,Aristida,oligantha,N,Y,,N,Y,Vascular,,Graminoid,Annual,,,Aristida oligantha Michx.,Michx.,,
birthwort,Aristolochia clematitis,Aristolochiaceae,Aristolochia,clematitis,N,Y,,N,Y,Vascular,Waste places. a rare weed in garden beds. A rare weed in New York but quite aggressive at least at some sites. when naturalized.,Vine. Forb/herb,Perennial,,,Aristolochia clematitis L.,L.,,
horseradish,Armoracia rusticana,Brassicaceae,Armoracia,rusticana,N,Y,,N,Y,Vascular,,Forb/herb,Perennial,,,Armoracia rusticana G. Gaertn.. B. Mey. & Scherb.,G. Gaertn.. B. Mey. & Scherb.,,
black chokeberry,Aronia melanocarpa,Rosaceae,Aronia,melanocarpa,Y,,7,N,Y,Vascular,Swamps. marshes. wet thickets. lakes edges. peatlands. rock outcrops. rocky summits. pine barrens. and sandy forests.,Tree. Shrub,Perennial,,,Aronia melanocarpa (Michx.) Elliott,(Michx.) Elliott,,
purple chokeberry,Aronia prunifolia,Rosaceae,Aronia,prunifolia,Y,,7,N,Y,Vascular,,Tree. Shrub,Perennial,,,Aronia prunifolia (Marshall) Rehder,(Marshall) Rehder,,
tall oat grass,Arrhenatherum elatius ssp. elatius,Poaceae,Arrhenatherum,elatius,N,Y,,N,Y,Vascular,Successional fields. hayfields. pastures. thickets. and roadsides sometimes becoming a dominant grass in fields.,Graminoid,Perennial,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl ssp. elatius,(L.) P. Beauv. ex J. Presl & C. Presl,ssp. elatius,
common wormwood,Artemisia absinthium,Asteraceae,Artemisia,absinthium,N,Y,,N,Y,Vascular,,Herbaceous,Perennial,,,Artemisia absinthium L.,L.,,
biennial wormwood,Artemisia biennis,Asteraceae,Artemisia,biennis,N,Y,,N,Y,Vascular,,Herbaceous,Biennial,,,Artemisia biennis Willd.,Willd.,,
sand wormwood,Artemisia campestris ssp. caudata,Asteraceae,Artemisia,campestris,Y,,8,N,Y,Vascular,,Herbaceous,Biennial,,,Artemisia campestris L. ssp. caudata (Michx.) H.M. Hall & Clem.,L.,ssp. caudata,(Michx.) H.M. Hall & Clem.
white sage,Artemisia ludoviciana ssp. ludoviciana,Asteraceae,Artemisia,ludoviciana,N,Y,,N,Y,Vascular,,Herbaceous,Perennial,,,Artemisia ludoviciana Nutt. ssp. ludoviciana,Nutt.,ssp. ludoviciana,
mugwort,Artemisia vulgaris,Asteraceae,Artemisia,vulgaris,N,Y,,N,Y,Vascular,Roadsides including large freeways. disturbed and waste areas. thickets. and edges of forests. Occurs in urban areas. A very weedy plant forming dense thickets in places.,Herbaceous,Perennial,,,Artemisia vulgaris L.,L.,,
wild ginger,Asarum canadense,Aristolochiaceae,Asarum,canadense,Y,,8,N,Y,Vascular,Slopes and bases of slopes in rich mesic forests with deep or calcareous soils and occasionally somewhat drier forests over limestone.  ,Forb/herb,Perennial,,,Asarum canadense L.,L.,,
forest milkweed,Asclepias exaltata,Apocynaceae,Asclepias,exaltata,Y,,6,N,Y,Vascular,Mesic deciduous forests and edges of forested roads and paths.  Not evenly scattered throughout a site but usually restricted to a few distinct patches.,Forb/herb,Perennial,,,Asclepias exaltata L.,L.,,
western swamp milkweed,Asclepias incarnata ssp. incarnata,Apocynaceae,Asclepias,incarnata,Y,,4,N,Y,Vascular,Marshes. swamps. edges of ponds. wet depressions or drainages in fields. and stream banks.  Does best in non-forested wetlands although also occurs in forested situations.,Herbaceous,Perennial,,,Asclepias incarnata L. ssp. incarnata,L.,ssp. incarnata,
four-leaved milkweed,Asclepias quadrifolia,Apocynaceae,Asclepias,quadrifolia,Y,,7,N,Y,Vascular,Forests to thin forests and woodlands of a southern affinity.  Mostly an understory herb that does not do well with intense herbaceous competition.  The herb layer may be rather full and diverse but not with dense tall plants. Does particularly well over calcareous rocks.,Forb/herb,Perennial,,,Asclepias quadrifolia Jacq.,Jacq.,,
common milkweed,Asclepias syriaca,Apocynaceae,Asclepias,syriaca,Y,,0,N,Y,Vascular,Successional fields. occasionally clearings in forests. roadsides. and disturbed ground.,Forb/herb,Perennial,,,Asclepias syriaca L.,L.,,
butterfly weed,Asclepias tuberosa,Apocynaceae,Asclepias,tuberosa,Y,,2,N,Y,Vascular,Dry-mesic roadsides. edges of railroads. successional fields. meadows. and dry banks of streams.  Does particularly well over calcareous rock.,Herbaceous,Perennial,,,Asclepias tuberosa L.,L.,,
white milkweed,Asclepias variegata,Apocynaceae,Asclepias,variegata,Y,,10,N,Y,Vascular,,Forb/herb,Perennial,Endangered-State,,Asclepias variegata L.,L.,,
whorled milkweed,Asclepias verticillata,Apocynaceae,Asclepias,verticillata,Y,,9,N,Y,Vascular,Thin rocky forests. rocky summits. and woodlands of a southern affinity.,Forb/herb,Perennial,Rare-State,,Asclepias verticillata L.,L.,,
pawpaw,Asimina triloba,Annonaceae,Asimina,triloba,Y,,5,N,Y,Vascular,Native in alluvial soils in floodplain forests and rich bottomlands of western New York. It is also cultivated and may persist and perhaps occasionally naturalize.,Tree. Shrub,Perennial,Threatened-State,,Asimina triloba (L.) Dunal,(L.) Dunal,,
asparagus,Asparagus officinalis,Asparagaceae,Asparagus,officinalis,N,Y,,N,Y,Vascular,Commonly cultivated and naturalized along roadsides. maritime dunes. fields. disturbed soils. and waste places.,Herbaceous,Perennial,,,Asparagus officinalis L.,L.,,
ebony spleenwort,Asplenium platyneuron,Aspleniaceae,Asplenium,platyneuron,Y,,5,N,Y,Vascular,Thin deciduous forests. rocky summits. thickets. sometimes on or near rock. and occasionally successional old fields. Mostly in dry-mesic to mesic soils and not occurring in the most acidic soils and perhaps more abundant in more mineral rich sites. This species appears to be increasing in New York.,Herbaceous,Perennial,,,Asplenium platyneuron (L.) Britton. Sterns & Poggenb.,(L.) Britton. Sterns & Poggenb.,,
walking fern,Asplenium rhizophyllum,Aspleniaceae,Asplenium,rhizophyllum,Y,,10,N,Y,Vascular,Mesic cliffs. ledges. erratics. and less frequently on adjacent soils primarily on calcareous rocks.  Usually in forested and/or shaded sites.,Forb/herb,Perennial,,,Asplenium rhizophyllum L.,L.,,
diploid maidenhair spleenwort,Asplenium trichomanes ssp. trichomanes,Aspleniaceae,Asplenium,trichomanes,Y,,9,N,Y,Vascular,,Forb/herb,Perennial,,,Asplenium trichomanes L. ssp. trichomanes,L.,ssp. trichomanes,
Canada milk vetch,Astragalus canadensis var. canadensis,Fabaceae,Astragalus,canadensis,Y,,10,N,Y,Vascular,,Forb/herb,Perennial,,,Astragalus canadensis L. var. canadensis,L.,var. canadensis,
licorice milk vetch,Astragalus glycyphyllos,Fabaceae,Astragalus,glycyphyllos,N,U,,N,Y,Vascular,,Forb/herb,Perennial,,,Astragalus glycyphyllos L.,L.,,
Cooper s milk vetch,Astragalus neglectus,Fabaceae,Astragalus,neglectus,Y,,10,N,Y,Vascular,Calcareous dry bluffs. shale and fine talus slopes. and upper slopes in open forests and woodlands.,Forb/herb,Perennial,Endangered-State,,Astragalus neglectus (Torr. & A. Gray) E. Sheld.,(Torr. & A. Gray) E. Sheld.,,
northern lady fern,Athyrium angustum,Athyriaceae,Athyrium,angustum,Y,,5,N,Y,Vascular,The more common of the two subspecies in New York. Hardwood or hardwood-coniferous forests. margins of streams. wet depressions in forests. and occasionally edges of forests. Primarily and understory herb that likes mesic to wet-mesic soils and usually does not occur in soils that are perennially saturated.,Fern,Perennial,,,Athyrium angustum (Willd.) C. Presl,(Willd.) C. Presl,,
sweet William catchfly,Atocion armeria,Caryophyllaceae,Atocion,armeria,N,Y,,N,Y,Vascular,,Forb/herb,Annual,,,Atocion armeria (L.) Raf.,(L.) Raf.,,
spear orach,Atriplex patula,Amaranthaceae,Atriplex,patula,N,Y,,N,Y,Vascular,Roadsides. waste places including urban settings. and disturbed ground. Also appears in salt influenced habitats including inland salt marshes.,Forb/herb,Annual,,,Atriplex patula L.,L.,,
seaside orach,Atriplex prostrata,Amaranthaceae,Atriplex,prostrata,U,,5,N,Y,Vascular,,Forb/herb,Annual,,,Atriplex prostrata Boucher ex DC.,Boucher ex DC.,,
smooth false foxglove,Aureolaria flava,Orobanchaceae,Aureolaria,flava,Y,,7,N,Y,Vascular,Hardwood forests. woodlands. and forest edges with oaks often in thin dry to dry-mesic soils.,Forb/herb,Perennial,,,Aureolaria flava (L.) Farw.,(L.) Farw.,,
fern-leaved false foxglove,Aureolaria pedicularia,Orobanchaceae,Aureolaria,pedicularia,Y,,8,N,Y,Vascular,Hardwood forests. woodlands. and forest edges with oaks often in thin dry to dry-mesic soils.,Forb/herb,Annual,,,Aureolaria pedicularia (L.) Raf. ex Pennell,(L.) Raf. ex Pennell,,
downy false foxglove,Aureolaria virginica,Orobanchaceae,Aureolaria,virginica,Y,,7,N,Y,Vascular,Hardwood forests. woodlands. and forest edges with oaks often in thin dry to dry-mesic soils.,Forb/herb,Perennial,,,Aureolaria virginica (L.) Pennell,(L.) Pennell,,
wild oats,Avena fatua,Poaceae,Avena,fatua,N,U,,N,Y,Vascular,,Graminoid,,,,Avena fatua L.,L.,,
cultivated oats,Avena sativa,Poaceae,Avena,sativa,N,N,,N,Y,Vascular,,Graminoid,,,,Avena sativa L.,L.,,
common hair grass,Avenella flexuosa,Poaceae,Avenella,flexuosa,Y,,8,N,Y,Vascular,Dry to dry-mesic forests. woodlands. and open habitat including barrens with thin often rocky or gravelly acidic soils.,Graminoid,Perennial,,,Avenella flexuosa (L.) Drejer,(L.) Drejer,,
mosquito fern,Azolla cristata,Salviniaceae,Azolla,cristata,Y,,2,N,Y,Vascular,Still or slow moving water of lakes. ponds. and streams. Sometimes becoming very abundant.,Forb/herb,Annual,,,Azolla cristata Kaulf.,Kaulf.,,
yellow rocket,Barbarea vulgaris,Brassicaceae,Barbarea,vulgaris,N,Y,,N,Y,Vascular,Hayfields. pastures. successional fields. thickets. roadsides. gravel bars of streams. disturbed soils. and waste places. A widespread very common non-native. In hayfields it can create a blanket of yellow in the spring.,Forb/herb,Biennial,,,Barbarea vulgaris W.T. Aiton,W.T. Aiton,,
Virginia screwstem,Bartonia virginica,Gentianaceae,Bartonia,virginica,Y,,7,N,Y,Vascular,Swamps. edges of lakes. peatlands. and wet road sides in acidic and sometimes sandy soils.,Herbaceous,Annual,,,Bartonia virginica (L.) Britton. Sterns & Poggenb.,(L.) Britton. Sterns & Poggenb.,,
winged smotherweed. summer cypress,Bassia scoparia,Amaranthaceae,Bassia,scoparia,N,Y,,N,Y,Vascular,,Forb/herb,,,,Bassia scoparia (L.) A.J. Scott,(L.) A.J. Scott,,
American slough grass,Beckmannia syzigachne,Poaceae,Beckmannia,syzigachne,N,Y,,N,Y,Vascular,,Graminoid,,,,Beckmannia syzigachne (Steud.) Fernald,(Steud.) Fernald,,
English daisy,Bellis perennis,Asteraceae,Bellis,perennis,N,Y,,N,Y,Vascular,Lawns and mowed grassy areas. It can be evenly scattered throughout lawns and create a dramatic display in early spring.,Forb/herb,Perennial,,,Bellis perennis L.,L.,,
holly-leaved Oregon grape,Berberis aquifolium,Berberidaceae,Berberis,aquifolium,N,U,,N,Y,Vascular,,Shrub. Subshrub,Perennial,,,Berberis aquifolium Pursh,Pursh,,
Japanese barberry,Berberis thunbergii,Berberidaceae,Berberis,thunbergii,N,Y,,N,Y,Vascular,Weedy in understories of mesic forests. thickets. and roadsides. This shrub is an aggressive invasive species and can form a dense shrub layer in forests. It is more common in the southern parts of the state and perhaps fairly uncommon in the coolest regions.,Shrub,Perennial,,,Berberis thunbergii DC.,DC.,,
common barberry,Berberis vulgaris,Berberidaceae,Berberis,vulgaris,N,Y,,N,Y,Vascular,Understories of forests. pastures. occasional in rich swamps. edges of ponds. and disturbed places. Much less common than B. thunbergii and usually not occurring in dense stands.,Shrub,Perennial,,,Berberis vulgaris L.,L.,,
hoary alyssum,Berteroa incana,Brassicaceae,Berteroa,incana,N,Y,,N,Y,Vascular,Roadsides. successional fields. and disturbed areas.,Herbaceous,Biennial,,,Berteroa incana (L.) DC.,(L.) DC.,,
yellow birch,Betula alleghaniensis,Betulaceae,Betula,alleghaniensis,Y,,7,N,Y,Vascular,Cool mesic forests and swamps. A widespread tree in NY it is dominant or co-dominant in some types of northern hardwood forests as well as cool swamps.,Tree,Perennial,,,Betula alleghaniensis Britton,Britton,,
black birch,Betula lenta,Betulaceae,Betula,lenta,Y,,6,N,Y,Vascular,A tree of young forests. rocky slopes. and talus slopes in mesic to dry soils. It is most common in warmer parts of NY and is an early successional species in mesic forests.,Tree,Perennial,,,Betula lenta L.,L.,,
gray birch,Betula populifolia,Betulaceae,Betula,populifolia,Y,,4,N,Y,Vascular,Woodlands. pine barrens. edges of forests. bluffs. successional fields. thickets. disturbed ground. and road sides on thin often rocky poor soils. Responds well to disturbance including fire.,Tree,Perennial,,,Betula populifolia Marshall,Marshall,,
midwestern beggar ticks,Bidens aristosa,Asteraceae,Bidens,aristosa,N,U,,N,Y,Vascular,Waste places. cultivated ground. and appearing from contaminated seeds on newly seeded ground.,Herbaceous,Annual,,,Bidens aristosa (Michx.) Britton,(Michx.) Britton,,
Beck s water marigold,Bidens beckii,Asteraceae,Bidens,beckii,Y,,7,N,Y,Vascular,Ponds and lakes.,Forb/herb,Perennial,,,Bidens beckii Torr. ex Spreng.,Torr. ex Spreng.,,
Spanish needles,Bidens bipinnata,Asteraceae,Bidens,bipinnata,Y,,0,N,Y,Vascular,,Forb/herb,Annual,,,Bidens bipinnata L.,L.,,
nodding beggar ticks,Bidens cernua,Asteraceae,Bidens,cernua,Y,,4,N,Y,Vascular,Marshes. wet ditches. banks of streams. edges of ponds. exposed mud in draw down zones of ponds and streams. and floating logs in ponds.,Forb/herb,Annual,,,Bidens cernua L.,L.,,
devil s beggar ticks,Bidens frondosa,Asteraceae,Bidens,frondosa,Y,,2,N,Y,Vascular,A wide variety of wetlands as well as disturbed areas.  Banks of streams. pond margins. marshes. roadside ditches. wet to mesic disturbed areas. and floodplains.  Along with B. connata one of our most common Bidens. ,Herbaceous,Annual,,,Bidens frondosa L.,L.,,
smooth beggar ticks,Bidens laevis,Asteraceae,Bidens,laevis,Y,,6,N,Y,Vascular,Tidal fresh water marshes.,Herbaceous,Annual,Threatened-State,,Bidens laevis (L.) Britton. Sterns & Poggenb.,(L.) Britton. Sterns & Poggenb.,,
